,route,order_date,order_flow
167,上海-南京,2015-06-17,17.0
168,上海-南京,2015-06-18,94.0
169,上海-南京,2015-06-19,5.0
170,上海-南京,2015-06-20,0.0
171,上海-南京,2015-06-21,1.0
172,上海-南京,2015-06-22,1.0
173,上海-南京,2015-06-23,64.0
174,上海-南京,2015-06-24,9.0
175,上海-南京,2015-06-25,23.0
176,上海-南京,2015-06-26,516.0
177,上海-南京,2015-06-27,28.0
178,上海-南京,2015-06-28,0.0
179,上海-南京,2015-06-29,16.0
180,上海-南京,2015-06-30,39.0
181,上海-南京,2015-07-01,25.0
182,上海-南京,2015-07-02,39.0
183,上海-南京,2015-07-03,776.0
184,上海-南京,2015-07-04,4.0
185,上海-南京,2015-07-05,503.0
186,上海-南京,2015-07-06,20.0
187,上海-南京,2015-07-07,1.0
188,上海-南京,2015-07-08,88.0
189,上海-南京,2015-07-09,203.0
190,上海-南京,2015-07-10,404.0
191,上海-南京,2015-07-11,13.0
192,上海-南京,2015-07-12,0.0
193,上海-南京,2015-07-13,17.0
194,上海-南京,2015-07-14,10.0
195,上海-南京,2015-07-15,7.0
196,上海-南京,2015-07-16,44.0
197,上海-南京,2015-07-17,15.0
198,上海-南京,2015-07-18,0.0
199,上海-南京,2015-07-19,1.0
200,上海-南京,2015-07-20,8.0
201,上海-南京,2015-07-21,1.0
202,上海-南京,2015-07-22,0.0
203,上海-南京,2015-07-23,62.0
204,上海-南京,2015-07-24,79.0
205,上海-南京,2015-07-25,10.0
206,上海-南京,2015-07-26,0.0
207,上海-南京,2015-07-27,41.0
208,上海-南京,2015-07-28,55.0
209,上海-南京,2015-07-29,109.0
210,上海-南京,2015-07-30,110.0
211,上海-南京,2015-07-31,62.0
212,上海-南京,2015-08-01,1.0
213,上海-南京,2015-08-02,6.0
214,上海-南京,2015-08-03,20.0
215,上海-南京,2015-08-04,20.0
216,上海-南京,2015-08-05,6.0
217,上海-南京,2015-08-06,15.0
218,上海-南京,2015-08-07,18.0
219,上海-南京,2015-08-08,3.0
220,上海-南京,2015-08-09,0.0
221,上海-南京,2015-08-10,14.0
222,上海-南京,2015-08-11,18.0
223,上海-南京,2015-08-12,4.0
224,上海-南京,2015-08-13,22.0
225,上海-南京,2015-08-14,14.0
226,上海-南京,2015-08-15,0.0
227,上海-南京,2015-08-16,0.0
228,上海-南京,2015-08-17,18.0
229,上海-南京,2015-08-18,0.0
230,上海-南京,2015-08-19,45.0
231,上海-南京,2015-08-20,14.0
232,上海-南京,2015-08-21,35.0
233,上海-南京,2015-08-22,1.0
234,上海-南京,2015-08-23,0.0
235,上海-南京,2015-08-24,0.0
236,上海-南京,2015-08-25,37.0
237,上海-南京,2015-08-26,16.0
238,上海-南京,2015-08-27,103.0
239,上海-南京,2015-08-28,86.0
240,上海-南京,2015-08-29,26.0
241,上海-南京,2015-08-30,2.0
242,上海-南京,2015-08-31,107.0
243,上海-南京,2015-09-01,23.0
244,上海-南京,2015-09-02,11.0
245,上海-南京,2015-09-03,21.0
246,上海-南京,2015-09-04,5.0
247,上海-南京,2015-09-05,0.0
248,上海-南京,2015-09-06,120.0
249,上海-南京,2015-09-07,25.0
250,上海-南京,2015-09-08,9.0
251,上海-南京,2015-09-09,18.0
252,上海-南京,2015-09-10,1.0
253,上海-南京,2015-09-11,3.0
254,上海-南京,2015-09-12,1.0
255,上海-南京,2015-09-13,3.0
256,上海-南京,2015-09-14,5.0
257,上海-南京,2015-09-15,71.0
258,上海-南京,2015-09-16,85.0
259,上海-南京,2015-09-17,108.0
260,上海-南京,2015-09-18,85.0
261,上海-南京,2015-09-19,44.0
262,上海-南京,2015-09-20,1.0
263,上海-南京,2015-09-21,86.0
264,上海-南京,2015-09-22,42.0
265,上海-南京,2015-09-23,82.0
266,上海-南京,2015-09-24,15.0
267,上海-南京,2015-09-25,168.0
268,上海-南京,2015-09-26,0.0
269,上海-南京,2015-09-27,4.0
270,上海-南京,2015-09-28,19.0
271,上海-南京,2015-09-29,15.0
272,上海-南京,2015-09-30,38.0
273,上海-南京,2015-10-01,0.0
274,上海-南京,2015-10-02,0.0
275,上海-南京,2015-10-03,22.0
276,上海-南京,2015-10-04,3.0
277,上海-南京,2015-10-05,17.0
278,上海-南京,2015-10-06,2.0
279,上海-南京,2015-10-07,4.0
280,上海-南京,2015-10-08,18.0
281,上海-南京,2015-10-09,10.0
282,上海-南京,2015-10-10,9.0
283,上海-南京,2015-10-11,7.0
284,上海-南京,2015-10-12,13.0
285,上海-南京,2015-10-13,9.0
286,上海-南京,2015-10-14,118.0
287,上海-南京,2015-10-15,24.0
288,上海-南京,2015-10-16,27.0
289,上海-南京,2015-10-17,2.0
290,上海-南京,2015-10-18,0.0
291,上海-南京,2015-10-19,31.0
292,上海-南京,2015-10-20,8.0
293,上海-南京,2015-10-21,119.0
294,上海-南京,2015-10-22,47.0
295,上海-南京,2015-10-23,52.0
296,上海-南京,2015-10-24,47.0
297,上海-南京,2015-10-25,33.0
298,上海-南京,2015-10-26,54.0
299,上海-南京,2015-10-27,36.0
300,上海-南京,2015-10-28,47.0
301,上海-南京,2015-10-29,182.0
302,上海-南京,2015-10-30,125.0
303,上海-南京,2015-10-31,38.0
304,上海-南京,2015-11-01,7.0
305,上海-南京,2015-11-02,29.0
306,上海-南京,2015-11-03,40.0
307,上海-南京,2015-11-04,4.0
308,上海-南京,2015-11-05,37.0
309,上海-南京,2015-11-06,42.0
310,上海-南京,2015-11-07,5.0
311,上海-南京,2015-11-08,0.0
312,上海-南京,2015-11-09,23.0
313,上海-南京,2015-11-10,61.0
314,上海-南京,2015-11-11,25.0
315,上海-南京,2015-11-12,0.0
316,上海-南京,2015-11-13,77.0
317,上海-南京,2015-11-14,2.0
318,上海-南京,2015-11-15,30.0
319,上海-南京,2015-11-16,55.0
320,上海-南京,2015-11-17,73.0
321,上海-南京,2015-11-18,39.0
322,上海-南京,2015-11-19,43.0
323,上海-南京,2015-11-20,53.0
324,上海-南京,2015-11-21,7.0
325,上海-南京,2015-11-22,6.0
326,上海-南京,2015-11-23,88.0
327,上海-南京,2015-11-24,58.0
328,上海-南京,2015-11-25,41.0
329,上海-南京,2015-11-26,93.0
330,上海-南京,2015-11-27,28.0
331,上海-南京,2015-11-28,88.0
332,上海-南京,2015-11-29,18.0
333,上海-南京,2015-11-30,56.0
334,上海-南京,2015-12-01,25.0
