,route,order_date,order_flow
167,上海-上海,2015-06-17,261.0
168,上海-上海,2015-06-18,430.0
169,上海-上海,2015-06-19,191.0
170,上海-上海,2015-06-20,19.0
171,上海-上海,2015-06-21,3.0
172,上海-上海,2015-06-22,7.0
173,上海-上海,2015-06-23,197.0
174,上海-上海,2015-06-24,270.0
175,上海-上海,2015-06-25,210.0
176,上海-上海,2015-06-26,334.0
177,上海-上海,2015-06-27,123.0
178,上海-上海,2015-06-28,2.0
179,上海-上海,2015-06-29,302.0
180,上海-上海,2015-06-30,1291.0
181,上海-上海,2015-07-01,770.0
182,上海-上海,2015-07-02,370.0
183,上海-上海,2015-07-03,274.0
184,上海-上海,2015-07-04,11.0
185,上海-上海,2015-07-05,7.0
186,上海-上海,2015-07-06,177.0
187,上海-上海,2015-07-07,344.0
188,上海-上海,2015-07-08,218.0
189,上海-上海,2015-07-09,145.0
190,上海-上海,2015-07-10,201.0
191,上海-上海,2015-07-11,146.0
192,上海-上海,2015-07-12,3.0
193,上海-上海,2015-07-13,224.0
194,上海-上海,2015-07-14,347.0
195,上海-上海,2015-07-15,209.0
196,上海-上海,2015-07-16,343.0
197,上海-上海,2015-07-17,325.0
198,上海-上海,2015-07-18,41.0
199,上海-上海,2015-07-19,12.0
200,上海-上海,2015-07-20,200.0
201,上海-上海,2015-07-21,285.0
202,上海-上海,2015-07-22,43.0
203,上海-上海,2015-07-23,555.0
204,上海-上海,2015-07-24,298.0
205,上海-上海,2015-07-25,110.0
206,上海-上海,2015-07-26,48.0
207,上海-上海,2015-07-27,298.0
208,上海-上海,2015-07-28,318.0
209,上海-上海,2015-07-29,411.0
210,上海-上海,2015-07-30,135.0
211,上海-上海,2015-07-31,769.0
212,上海-上海,2015-08-01,84.0
213,上海-上海,2015-08-02,36.0
214,上海-上海,2015-08-03,301.0
215,上海-上海,2015-08-04,230.0
216,上海-上海,2015-08-05,71.0
217,上海-上海,2015-08-06,174.0
218,上海-上海,2015-08-07,388.0
219,上海-上海,2015-08-08,32.0
220,上海-上海,2015-08-09,15.0
221,上海-上海,2015-08-10,218.0
222,上海-上海,2015-08-11,340.0
223,上海-上海,2015-08-12,401.0
224,上海-上海,2015-08-13,246.0
225,上海-上海,2015-08-14,326.0
226,上海-上海,2015-08-15,51.0
227,上海-上海,2015-08-16,14.0
228,上海-上海,2015-08-17,292.0
229,上海-上海,2015-08-18,113.0
230,上海-上海,2015-08-19,371.0
231,上海-上海,2015-08-20,173.0
232,上海-上海,2015-08-21,376.0
233,上海-上海,2015-08-22,10.0
234,上海-上海,2015-08-23,5.0
235,上海-上海,2015-08-24,337.0
236,上海-上海,2015-08-25,180.0
237,上海-上海,2015-08-26,380.0
238,上海-上海,2015-08-27,371.0
239,上海-上海,2015-08-28,602.0
240,上海-上海,2015-08-29,127.0
241,上海-上海,2015-08-30,23.0
242,上海-上海,2015-08-31,508.0
243,上海-上海,2015-09-01,305.0
244,上海-上海,2015-09-02,433.0
245,上海-上海,2015-09-03,47.0
246,上海-上海,2015-09-04,20.0
247,上海-上海,2015-09-05,78.0
248,上海-上海,2015-09-06,120.0
249,上海-上海,2015-09-07,234.0
250,上海-上海,2015-09-08,382.0
251,上海-上海,2015-09-09,409.0
252,上海-上海,2015-09-10,311.0
253,上海-上海,2015-09-11,296.0
254,上海-上海,2015-09-12,14.0
255,上海-上海,2015-09-13,19.0
256,上海-上海,2015-09-14,538.0
257,上海-上海,2015-09-15,348.0
258,上海-上海,2015-09-16,191.0
259,上海-上海,2015-09-17,303.0
260,上海-上海,2015-09-18,351.0
261,上海-上海,2015-09-19,160.0
262,上海-上海,2015-09-20,15.0
263,上海-上海,2015-09-21,431.0
264,上海-上海,2015-09-22,412.0
265,上海-上海,2015-09-23,446.0
266,上海-上海,2015-09-24,406.0
267,上海-上海,2015-09-25,409.0
268,上海-上海,2015-09-26,99.0
269,上海-上海,2015-09-27,223.0
270,上海-上海,2015-09-28,214.0
271,上海-上海,2015-09-29,184.0
272,上海-上海,2015-09-30,403.0
273,上海-上海,2015-10-01,0.0
274,上海-上海,2015-10-02,0.0
275,上海-上海,2015-10-03,4.0
276,上海-上海,2015-10-04,0.0
277,上海-上海,2015-10-05,19.0
278,上海-上海,2015-10-06,1.0
279,上海-上海,2015-10-07,0.0
280,上海-上海,2015-10-08,283.0
281,上海-上海,2015-10-09,348.0
282,上海-上海,2015-10-10,281.0
283,上海-上海,2015-10-11,60.0
284,上海-上海,2015-10-12,357.0
285,上海-上海,2015-10-13,300.0
286,上海-上海,2015-10-14,353.0
287,上海-上海,2015-10-15,375.0
288,上海-上海,2015-10-16,351.0
289,上海-上海,2015-10-17,45.0
290,上海-上海,2015-10-18,15.0
291,上海-上海,2015-10-19,269.0
292,上海-上海,2015-10-20,239.0
293,上海-上海,2015-10-21,421.0
294,上海-上海,2015-10-22,267.0
295,上海-上海,2015-10-23,542.0
296,上海-上海,2015-10-24,192.0
297,上海-上海,2015-10-25,52.0
298,上海-上海,2015-10-26,258.0
299,上海-上海,2015-10-27,339.0
300,上海-上海,2015-10-28,376.0
301,上海-上海,2015-10-29,407.0
302,上海-上海,2015-10-30,261.0
303,上海-上海,2015-10-31,14.0
304,上海-上海,2015-11-01,35.0
305,上海-上海,2015-11-02,244.0
306,上海-上海,2015-11-03,271.0
307,上海-上海,2015-11-04,234.0
308,上海-上海,2015-11-05,240.0
309,上海-上海,2015-11-06,353.0
310,上海-上海,2015-11-07,29.0
311,上海-上海,2015-11-08,54.0
312,上海-上海,2015-11-09,358.0
313,上海-上海,2015-11-10,265.0
314,上海-上海,2015-11-11,325.0
315,上海-上海,2015-11-12,481.0
316,上海-上海,2015-11-13,384.0
317,上海-上海,2015-11-14,16.0
318,上海-上海,2015-11-15,163.0
319,上海-上海,2015-11-16,220.0
320,上海-上海,2015-11-17,291.0
321,上海-上海,2015-11-18,309.0
322,上海-上海,2015-11-19,393.0
323,上海-上海,2015-11-20,303.0
324,上海-上海,2015-11-21,20.0
325,上海-上海,2015-11-22,1.0
326,上海-上海,2015-11-23,313.0
327,上海-上海,2015-11-24,254.0
328,上海-上海,2015-11-25,453.0
